Rank,Team,GM,W-L,FGM,FGA,FG%
142,Davidson (Atlantic 10),31,16-15,807,"1,777",45.4
143,Tulane (The American),31,18-13,802,"1,766",45.4
144,USC Upstate (Big South),32,6-26,881,"1,941",45.4
145,Ark.-Pine Bluff (SWAC),31,6-25,834,"1,838",45.4
146,George Mason (Atlantic 10),31,24-7,747,"1,647",45.4
147,Pittsburgh (ACC),31,17-14,813,"1,793",45.3
148,Middle Tenn. (CUSA),31,21-10,856,"1,888",45.3
149,William & Mary (CAA),32,17-15,842,"1,858",45.3
150,Nebraska (Big Ten),31,17-14,814,"1,798",45.3
151,Vanderbilt (SEC),31,20-11,869,"1,921",45.2
152,St. Bonaventure (Atlantic 10),31,21-10,787,"1,741",45.2
153,Northeastern (CAA),32,17-15,835,"1,848",45.2
154,Mississippi St. (SEC),31,20-11,886,"1,962",45.2
155,Saint Joseph's (Atlantic 10),31,20-11,815,"1,805",45.2
156,Cleveland St. (Horizon),32,21-11,861,"1,908",45.1
157,Wofford (SoCon),33,18-15,886,"1,965",45.1
158,Lehigh (Patriot),30,11-19,758,"1,682",45.1
159,Cincinnati (Big 12),31,17-14,836,"1,856",45
160,Robert Morris (Horizon),32,24-8,844,"1,874",45
161,Niagara (MAAC),31,11-20,747,"1,659",45
162,Temple (The American),31,17-14,819,"1,820",45
163,Illinois (Big Ten),31,20-11,893,"1,985",45
164,South Dakota (Summit League),33,19-14,946,"2,104",45
165,Georgia St. (Sun Belt),33,14-19,898,"1,998",44.9
166,Hawaii (Big West),31,15-16,745,"1,658",44.9
167,Denver (Summit League),32,11-21,820,"1,825",44.9
168,Virginia (ACC),31,15-16,718,"1,598",44.9
169,St. John's (NY) (Big East),31,27-4,908,"2,023",44.9
170,San Jose St. (Mountain West),32,14-18,830,"1,850",44.9
171,Wichita St. (The American),31,18-13,832,"1,855",44.9
172,Brown (Ivy League),27,14-13,723,"1,613",44.8
173,VCU (Atlantic 10),31,25-6,833,"1,859",44.8
174,Colorado (Big 12),31,12-19,758,"1,692",44.8
175,Baylor (Big 12),31,18-13,839,"1,874",44.8
176,Utah (Big 12),31,16-15,818,"1,828",44.7
177,Missouri St. (MVC),32,9-23,776,"1,735",44.7
178,Wake Forest (ACC),31,21-10,769,"1,720",44.7
179,Sam Houston (CUSA),31,13-18,807,"1,805",44.7
180,Rutgers (Big Ten),31,15-16,832,"1,862",44.7
181,Mount St. Mary's (MAAC),31,19-12,781,"1,748",44.7
182,Jacksonville St. (CUSA),31,20-11,817,"1,830",44.6
183,Abilene Christian (WAC),31,16-15,794,"1,779",44.6
184,South Fla. (The American),31,13-18,818,"1,833",44.6
185,LSU (SEC),31,14-17,816,"1,829",44.6
186,Georgetown (Big East),31,17-14,833,"1,868",44.6
