Rank,Team,GM,W-L,ST,STPG
218,Sam Houston (CUSA),31,13-18,199,6.4
218,Temple (The American),31,17-14,199,6.4
218,Utah Tech (WAC),31,6-25,199,6.4
224,Delaware (CAA),34,15-19,218,6.4
225,Colgate (Patriot),33,14-19,211,6.4
225,Washington St. (WCC),33,19-14,211,6.4
227,Louisiana Tech (CUSA),31,20-11,198,6.4
227,Miami (FL) (ACC),31,7-24,198,6.4
227,Montana St. (Big Sky),31,14-17,198,6.4
230,Manhattan (MAAC),29,17-12,185,6.4
231,Bellarmine (ASUN),31,5-26,197,6.4
231,Saint Mary's (CA) (WCC),31,27-4,197,6.4
233,Tennessee Tech (OVC),32,15-17,203,6.3
234,Mount St. Mary's (MAAC),31,19-12,196,6.3
234,New Mexico St. (CUSA),31,17-14,196,6.3
234,Saint Joseph's (Atlantic 10),31,20-11,196,6.3
234,Texas (SEC),31,17-14,196,6.3
238,Montana (Big Sky),32,23-9,202,6.3
238,North Florida (ASUN),32,15-17,202,6.3
238,Saint Francis (NEC),32,15-17,202,6.3
241,Nevada (Mountain West),31,16-15,195,6.3
241,Utah (Big 12),31,16-15,195,6.3
243,Southern Ill. (MVC),33,14-19,207,6.3
244,Kansas (Big 12),31,20-11,194,6.3
245,Niagara (MAAC),31,11-20,193,6.2
245,Tulsa (The American),31,12-19,193,6.2
247,IU Indy (Horizon),32,10-22,199,6.2
248,Pepperdine (WCC),33,13-21,205,6.2
249,California (ACC),31,13-18,192,6.2
250,High Point (Big South),34,29-5,210,6.2
251,Canisius (MAAC),31,3-28,191,6.2
252,N.C. A&T (CAA),32,7-25,197,6.2
252,Northern Colo. (Big Sky),32,24-8,197,6.2
254,Idaho St. (Big Sky),29,15-14,178,6.1
255,NIU (MAC),31,6-25,190,6.1
256,Richmond (Atlantic 10),31,10-21,189,6.1
257,Northern Ariz. (Big Sky),33,18-15,201,6.1
258,Boston U. (Patriot),32,16-16,194,6.1
258,James Madison (Sun Belt),32,20-12,194,6.1
260,Wofford (SoCon),33,18-15,200,6.1
261,Idaho (Big Sky),31,13-18,187,6
262,Evansville (MVC),32,11-21,192,6
262,UNC Greensboro (SoCon),32,20-12,192,6
262,Minnesota (Big Ten),31,15-16,186,6
262,Mississippi Val. (SWAC),31,3-28,186,6
262,The Citadel (SoCon),30,5-25,180,6
262,UT Arlington (WAC),30,13-17,180,6
268,Omaha (Summit League),34,22-12,203,6
269,North Carolina (ACC),32,20-12,191,6
270,Alabama (SEC),31,24-7,185,6
270,UC Santa Barbara (Big West),31,19-12,185,6
272,Hofstra (CAA),33,15-18,196,5.9
273,Sacramento St. (Big Sky),32,7-25,190,5.9
274,DePaul (Big East),31,13-18,184,5.9
274,Georgia Tech (ACC),31,16-15,184,5.9
276,Brown (Ivy League),27,14-13,160,5.9
277,Monmouth (CAA),33,13-20,195,5.9
278,UNI (MVC),32,20-12,189,5.9
279,Rhode Island (Atlantic 10),30,18-12,177,5.9
280,Yale (Ivy League),27,20-7,159,5.9
281,UMass Lowell (America East),32,17-15,188,5.9
282,Valparaiso (MVC),34,15-19,199,5.9
283,Indiana (Big Ten),31,19-12,181,5.8
284,Lafayette (Patriot),33,13-20,192,5.8
285,Lehigh (Patriot),30,11-19,174,5.8
286,Detroit Mercy (Horizon),32,8-24,185,5.8
286,LMU (CA) (WCC),32,17-15,185,5.8
288,San Jose St. (Mountain West),32,14-18,184,5.8
289,Davidson (Atlantic 10),31,16-15,177,5.7
289,Michigan (Big Ten),31,22-9,177,5.7
291,Illinois St. (MVC),33,19-14,188,5.7
291,North Dakota (Summit League),33,12-21,188,5.7
291,Pacific (WCC),33,9-24,188,5.7
291,Wright St. (Horizon),33,15-18,188,5.7
295,Marist (MAAC),29,20-9,165,5.7
296,Long Beach St. (Big West),32,7-25,182,5.7
296,Vermont (America East),32,21-11,182,5.7
298,Howard (MEAC),31,12-19,176,5.7
298,Villanova (Big East),31,18-13,176,5.7
300,New Hampshire (America East),32,8-24,181,5.7
301,FGCU (ASUN),32,18-14,179,5.6
301,Morehead St. (OVC),32,15-17,179,5.6
303,Michigan St. (Big Ten),31,26-5,173,5.6
303,South Carolina (SEC),31,12-19,173,5.6
305,Radford (Big South),33,20-13,183,5.5
306,Air Force (Mountain West),31,4-27,171,5.5
306,App State (Sun Belt),31,17-14,171,5.5
308,Old Dominion (Sun Belt),35,15-20,193,5.5
309,Rider (MAAC),31,13-18,170,5.5
310,Notre Dame (ACC),31,14-17,169,5.5
310,Toledo (MAC),31,17-14,169,5.5
312,Arizona St. (Big 12),31,13-18,168,5.4
312,UConn (Big East),31,22-9,168,5.4
312,Virginia Tech (ACC),31,13-18,168,5.4
312,Western Ill. (OVC),31,12-19,168,5.4
316,UC Riverside (Big West),32,21-11,173,5.4
317,Boise St. (Mountain West),31,22-9,166,5.4
317,Virginia (ACC),31,15-16,166,5.4
319,Florida A&M (SWAC),29,13-16,155,5.3
320,Colorado St. (Mountain West),31,22-9,165,5.3
320,Wisconsin (Big Ten),31,23-8,165,5.3
322,Cal St. Fullerton (Big West),32,6-26,170,5.3
323,UMES (MEAC),30,6-24,159,5.3
